Msiteelement,Asiteelement,Xsiteelement,Matomporbitalradii,Matomdorbitalradii,Matomsorbitalradii,Aatomsorbitalradii,Aatomporbitalradii,Xatomsorbitalradii,Xatomporbitalradii,BBulkmodulus,GShearmodulus,EYoungsmodulus
V,Ga,N,0.439,0.449,1.401,0.96,1.254,0.521,0.4875,174,105,263
V,Al,C,0.439,0.449,1.401,1.044,1.312,0.62,0.596,175,132,316
Hf,As,C,0.617,0.829,1.476,0.826,0.9915,0.62,0.596,175,103,257
V,Ga,C,0.439,0.449,1.401,0.96,1.254,0.62,0.596,175,125,302
Ta,In,C,0.599,0.784,1.413,1.093,1.382,0.62,0.596,175,106,265
Ta,Sn,C,0.599,0.784,1.413,1.027,1.24,0.62,0.596,176,81,211
Ta,Sn,N,0.599,0.784,1.413,1.027,1.24,0.521,0.4875,176,44,122
Nb,Ga,C,0.586,0.747,1.589,0.96,1.254,0.62,0.596,177,108,270
Ti,S,C,0.468,0.489,1.477,0.723,0.808,0.62,0.596,177,134,321
W,Cd,C,0.582,0.746,1.36,0.445,1.184,0.62,0.596,179,93,236
Hf,S,C,0.617,0.829,1.476,0.723,0.808,0.62,0.596,179,126,305
V,Al,N,0.439,0.449,1.401,1.044,1.312,0.521,0.4875,180,128,310
Ti,As,N,0.468,0.489,1.477,0.826,0.9915,0.521,0.4875,181,114,281
Ti,S,N,0.468,0.489,1.477,0.723,0.808,0.521,0.4875,181,121,297
V,Ge,C,0.439,0.449,1.401,0.886,1.09,0.62,0.596,182,105,263
Hf,Si,N,0.617,0.829,1.476,0.904,1.068,0.521,0.4875,182,99,250
Hf,As,N,0.617,0.829,1.476,0.826,0.9915,0.521,0.4875,183,114,284
Zr,P,N,0.613,0.79,1.593,0.803,0.9175,0.521,0.4875,183,115,284
Ti,Si,N,0.468,0.489,1.477,0.904,1.068,0.521,0.4875,183,115,285
Mo,Sn,C,0.56,0.699,1.52,1.027,1.24,0.62,0.596,184,56,152
Cr,Al,N,0.416,0.4265,1.453,1.044,1.312,0.521,0.4875,184,92,237
Cr,Ga,C,0.416,0.4265,1.453,0.96,1.254,0.62,0.596,185,114,283
Mo,Cd,N,0.56,0.699,1.52,0.445,1.184,0.521,0.4875,185,60,163
Cr,Al,C,0.416,0.4265,1.453,1.044,1.312,0.62,0.596,186,138,332
Hf,S,N,0.617,0.829,1.476,0.723,0.808,0.521,0.4875,186,97,249
W,In,C,0.582,0.746,1.36,1.093,1.382,0.62,0.596,187,76,201
Ti,P,C,0.468,0.489,1.477,0.803,0.9175,0.62,0.596,187,109,273
Hf,P,C,0.617,0.829,1.476,0.803,0.9175,0.62,0.596,188,129,315
Mo,Ga,C,0.56,0.699,1.52,0.96,1.254,0.62,0.596,190,101,257
Cr,Ge,N,0.416,0.4265,1.453,0.886,1.09,0.521,0.4875,191,53,147
Nb,Ge,C,0.586,0.747,1.589,0.886,1.09,0.62,0.596,192,106,268
Cr,S,C,0.416,0.4265,1.453,0.723,0.808,0.62,0.596,192,88,229
Ta,Al,C,0.599,0.784,1.413,1.044,1.312,0.62,0.596,193,122,303
Ta,Ga,C,0.599,0.784,1.413,0.96,1.254,0.62,0.596,194,118,294
Nb,Al,N,0.586,0.747,1.589,1.044,1.312,0.521,0.4875,194,112,281
V,Ge,N,0.439,0.449,1.401,0.886,1.09,0.521,0.4875,194,87,226
Cr,As,C,0.416,0.4265,1.453,0.826,0.9915,0.62,0.596,195,62,168
Mo,Al,C,0.56,0.699,1.52,1.044,1.312,0.62,0.596,196,119,296
V,As,C,0.439,0.449,1.401,0.826,0.9915,0.62,0.596,197,124,307
Nb,S,C,0.586,0.747,1.589,0.723,0.808,0.62,0.596,197,101,258
Nb,Ga,N,0.586,0.747,1.589,0.96,1.254,0.521,0.4875,198,109,275
Hf,P,N,0.617,0.829,1.476,0.803,0.9175,0.521,0.4875,198,128,316
V,S,C,0.439,0.449,1.401,0.723,0.808,0.62,0.596,199,114,286
Cr,Ge,C,0.416,0.4265,1.453,0.886,1.09,0.62,0.596,200,81,213
W,Sn,C,0.582,0.746,1.36,1.027,1.24,0.62,0.596,200,38,107
Nb,Ge,N,0.586,0.747,1.589,0.886,1.09,0.521,0.4875,200,91,236
Ti,P,N,0.468,0.489,1.477,0.803,0.9175,0.521,0.4875,200,135,331
V,As,N,0.439,0.449,1.401,0.826,0.9915,0.521,0.4875,203,94,245
Nb,As,C,0.586,0.747,1.589,0.826,0.9915,0.62,0.596,204,126,312
Mo,S,N,0.56,0.699,1.52,0.723,0.808,0.521,0.4875,204,44,122
Nb,As,N,0.586,0.747,1.589,0.826,0.9915,0.521,0.4875,205,86,226
Ta,Ge,C,0.599,0.784,1.413,0.886,1.09,0.62,0.596,206,113,286
Ta,S,C,0.599,0.784,1.413,0.723,0.808,0.62,0.596,206,95,247
Cr,As,N,0.416,0.4265,1.453,0.826,0.9915,0.521,0.4875,206,63,171
Mo,As,N,0.56,0.699,1.52,0.826,0.9915,0.521,0.4875,208,75,201
Mo,As,C,0.56,0.699,1.52,0.826,0.9915,0.62,0.596,209,52,144
Nb,Si,C,0.586,0.747,1.589,0.904,1.068,0.62,0.596,209,122,305
V,Si,N,0.439,0.449,1.401,0.904,1.068,0.521,0.4875,209,102,263
