0.0329,29,2.37,20.5,50.7,0.013,1,2740000
0.0977,87,1.89,12.4,75.6,0.02,1,3260000
0.0448,77,1.43,14.5,80.7,0.0232,1,3930000
0.0592,55,2.92,13.5,67.7,0.0236,1,4160000
0.0579,41,3.05,16.7,84.7,0.0142,1,2460000
0.0762,69,2.42,11.7,17.4,0.0268,1,6280000
0.0312,60,2.1,16.9,78.9,0.0262,1,4550000
0.0863,78,3.93,15.2,57.3,0.0133,1,2550000
0.0414,93,3.59,11.2,40.8,0.0139,1,3180000
0.0497,59,2.94,15.6,39.2,0.0216,1,4500000
0.065,77,4.45,15.7,24.5,0.0199,1,4750000
0.097,51,2.47,18.2,90.4,0.0297,1,4460000
0.0109,100,1.11,11.8,25.2,0.0261,1,6150000
0.0115,36,1.84,21.1,87.5,0.019,1,3400000
0.0164,32,3.51,19,68.4,0.0123,1,2350000
0.084057,26,1.713529,24.20732,30.06604,0.010136,1,2510000
0.066163,38,1.400191,16.43192,32.42658,0.02147,1,4450000
0.086847,28,2.896385,16.98916,60.72117,0.025468,1,4250000
0.032414,55,3.158176,15.30951,84.0924,0.012807,1,2380000
0.061273,91,2.995551,12.82858,44.39479,0.028281,1,5410000
0.024671,13,1.222525,24.74239,69.29126,0.015983,1,3040000
0.062212,12,2.48203,25.71733,74.42759,0.027878,1,4400000
0.084709,65,1.462251,13.67882,82.54416,0.024908,1,3980000
0.05842,30,3.236981,23.5211,34.49459,0.029819,1,5960000
0.072185,46,4.524779,14.19329,63.83081,0.021134,1,3700000
0.089004,70,2.086952,13.97247,41.26725,0.011579,1,2480000
0.027522,85,4.491281,14.18658,59.52566,0.016935,1,3380000
0.08908,45,4.081366,18.73603,15.3115,0.017264,1,4520000
0.032508,97,3.906878,11.07452,40.17119,0.027396,1,5590000
0.016947,43,3.684701,20.78857,29.68082,0.026686,1,6060000
0.036616,37,4.788386,17.44816,25.79486,0.021844,1,5080000
0.094013,82,3.546009,12.00764,38.48306,0.013112,1,2830000
0.051168,41,1.216049,13.28578,14.03964,0.011538,1,3570000
0.059153,69,2.041071,16.14338,78.44975,0.027027,1,4520000
0.061995,24,4.96872,21.77469,95.35819,0.016857,1,2730000
0.09669,17,2.323297,21.29634,51.30492,0.014025,1,2580000
0.018168,19,3.962843,16.65426,83.72757,0.0293,1,4990000
0.08557,14,4.268887,25.98811,35.7615,0.022075,1,4460000
0.090815,15,2.743536,23.28906,87.11634,0.020472,1,3220000
0.057106,80,2.248724,11.43639,80.20543,0.015283,1,2730000
0.032828,40,2.382499,19.87796,89.47689,0.028576,1,4720000
0.020738,23,2.955692,25.06931,48.9046,0.022427,1,4490000
0.060028,54,1.405786,15.07457,76.99264,0.010833,1,2000000
0.082633,85,1.515515,15.42986,48.40698,0.021161,1,3970000
0.013719,33,2.425484,20.26848,65.52999,0.023312,1,4310000
0.04751,58,2.599256,14.61566,55.38978,0.018745,1,3610000
0.011502,42,1.886588,15.72076,46.35002,0.018861,1,4020000
0.037764,99,1.954602,10.6301,76.11333,0.02179,1,3750000
0.013015,80,4.347515,15.32926,42.2786,0.020882,1,4410000
0.065266,31,3.406463,17.25624,12.94023,0.021001,1,5510000
0.068263,19,3.646595,17.88581,66.45768,0.010925,1,2090000
0.077695,54,2.139362,14.05281,27.97376,0.029215,1,5970000
0.048616,69,4.037778,17.85563,79.10757,0.027256,1,4610000
0.040438,22,4.196066,20.09459,63.60185,0.020213,1,3710000
0.050958,70,3.006234,14.89886,22.41997,0.011245,1,3140000
0.01561,91,2.777983,12.16283,20.67014,0.014403,1,4050000
0.013465,16,3.31205,27.53962,62.24713,0.027938,1,5110000
0.03935,73,1.951526,11.39331,89.80805,0.016937,1,2950000
0.078112,49,4.280027,16.76622,96.14201,0.028467,1,4370000
0.087373,29,1.818546,20.06611,75.13218,0.023843,1,3850000
0.129,32,1.8,18.8,13,0.0219,1,5145442.581
0.1,17,1.91,26.6,91.8,0.017,1,2679630.785
0.108,97,1.82,14.6,59.9,0.0225,1,3702467.155
