0.0206,13,1.14,28.1,54.7,0.0152,0,3140000
0.0656,26,1.31,23.3,71.2,0.0171,0,3000000
0.078,20,2.15,25.9,67.3,0.0148,0,2690000
0.0642,20,1.09,20.2,99.2,0.0286,0,4450000
0.0997,48,1.16,20.4,37.4,0.015,0,3110000
0.035618,36,1.233069,21.47355,36.46184,0.013244,0,3120000
0.050308,20,3.774395,22.84932,84.56609,0.023789,0,3780000
0.043272,31,3.389264,18.56245,27.27333,0.015545,0,3740000
0.030945,41,2.943783,14.57319,67.15792,0.024442,0,4340000
0.07921,42,3.945721,15.82989,33.71575,0.018653,0,3820000
0.039101,11,1.770797,29.39779,91.61055,0.011995,0,2130000
0.071871,63,2.0059,18.43256,60.22592,0.028421,0,4870000
0.076076,50,2.612428,19.30459,50.65556,0.022571,0,3990000
0.060489,60,3.958017,14.36455,72.89504,0.015215,0,2740000
0.04546,48,1.565707,17.12808,71.3473,0.027499,0,4700000
0.047544,79,2.060435,13.54428,94.50779,0.022876,0,3660000
0.049663,59,2.938252,15.60907,39.1888,0.02163,0,4350000
0.081295,96,4.477042,14.76557,20.34129,0.011713,0,3050000
0.026738,77,1.563962,13.00779,43.72286,0.029061,0,5690000
0.176,29,1.11,23.2,35.2,0.0209,0,3732755.674
0.137,21,2.13,22.3,79.5,0.025,0,3367463.777
0.111,14,1.38,28.2,76.2,0.0214,0,3195255.326
0.159,25,1.4,24.3,100,0.03,0,3709036.911
0.113,44,1.45,17.8,24.8,0.023,0,4509930.081
0.121,64,1.25,15.7,66,0.0157,0,2535075.264
0.128,52,1.86,17.2,80.6,0.0166,0,2466398.194
0.147,30,1.5,23.8,57.8,0.0217,0,3467905.153
0.107,37,3.56,18.1,99,0.0219,0,3137441.622
0.148,51,1.58,16.8,69.3,0.0266,0,3783687.992
0.158,92,1.35,15,87.1,0.02,0,2762285.734
0.144,39,2.48,19.3,58.7,0.0199,0,2963695.148
0.158,58,2.44,18.5,48.9,0.0102,0,1855794.64
0.15,63,1.67,16.3,43.4,0.0168,0,3032747.483
0.113,91,1.81,13,19.6,0.0177,0,3965417.538
0.152,47,1.87,19.1,93.8,0.0186,0,2553328.216
0.146,79,1.11,15.9,11.8,0.0221,0,4912369.675
0.102,63,2.98,18.3,51,0.0172,0,3070455.827
0.135,81,2.88,15.3,16,0.0138,0,3101969.352
0.125,42,1.54,19.4,65.8,0.0267,0,4136562.97
0.126,91,1.15,14.8,71.8,0.0114,0,1899714.075
0.112,33,2,22,43.6,0.0186,0,3438620.768
0.106,14,3.65,26.4,37.7,0.0164,0,3277987.97
0.133,38,1.11,21.1,99.7,0.0242,0,3371936.567
0.122,75,3.14,14.6,97.9,0.03,0,4087533.869
0.111,69,1.63,17.1,85.3,0.016,0,2504779.097
0.112,67,4.01,14.8,96.8,0.0167,0,2339591.287
0.167,47,1.57,18.4,64.1,0.0256,0,3880685.983
0.1,53,2.6,15.5,24.3,0.0104,0,2613223.637
0.127,83,3.94,15.6,83.9,0.023,0,3285756.511
0.136,13,2.08,25.9,26.5,0.0224,0,4589983.335
0.147,62,2.13,17.3,32.3,0.0214,0,3809496.494
0.106,39,2.51,18.5,31.8,0.011,0,2575269.617
0.124,55,2.36,17.6,55.2,0.0182,0,2987859.564
0.125,20,1.72,25.1,25.9,0.0123,0,2751216.178
0.112,25,1.23,20.8,21.3,0.0284,0,5719072.63
0.122,29,2.59,22.8,23.8,0.016,0,3395579.812
0.114,40,1.43,19.8,54.5,0.0126,0,2255697.495
0.1,75,1.1,14.4,29,0.025,0,5100579.633
0.105,92,2.19,13.2,15.4,0.0259,0,5518259.821
0.103,53,2.81,16.2,46.7,0.021,0,3640880.617
0.141,53,2.14,16.6,87.6,0.03,0,4025245.617
0.118,78,2.87,13.4,27.4,0.0162,0,3461121.108
0.173,57,1.58,17.7,53.1,0.0233,0,3447106.175
0.13,36,2.63,20,65.9,0.0245,0,3667433.934
0.179,47,1.45,18.8,25.9,0.0241,0,4399862.284
0.113,19,1.33,27.1,64,0.0187,0,3071715.631
0.107,95,3.22,13.6,81.9,0.0174,0,2761705.627
0.103,60,3.72,15.2,35.4,0.0194,0,3784834.117
0.132,47,2.14,18,97.7,0.0101,0,1575714.114
0.071009,13,4.722323,20.65327,13.43131,0.026218,0,6340000
